asset_id,asset_class,location,route,chainage_start,chainage_end,asset_age,criticality,handback_relevance
A001,Structures,River Lea overbridge,M25,102.4,102.6,42,High,High
A002,Pavements,Northbound concrete bay,M1,55.0,57.5,28,High,Medium
A003,Drainage,Culvert at Junction 8,A14,88.1,88.3,35,Medium,High
A004,Technology,Variable message sign 14,M6,221.2,221.2,16,Medium,Low
A005,Geotechnical,South cutting slope,A1,14.5,15.2,51,High,High
A006,Lighting,LED columns section 4,A12,31.0,34.0,11,Low,Low
A007,Barriers,Central reserve barrier,M4,76.0,80.0,22,High,Medium
A008,Structures,Railway underbridge,M62,43.7,43.9,58,High,High
A009,Pavements,Eastbound flexible pavement,A50,9.0,12.0,19,Medium,Medium
A010,Drainage,Interceptor chambers,M20,64.0,66.0,27,Medium,Medium
A011,Technology,CCTV site cluster 7,M5,139.0,144.0,13,Medium,Low
A012,Geotechnical,Retaining wall RW-22,A27,4.1,4.4,47,High,High
A013,Lighting,High mast lighting junction,A19,18.2,18.4,24,Medium,Medium
A014,Barriers,Parapet approach barrier,A38,27.5,28.1,31,High,High
A015,Pavements,Slip road surface course,M3,84.5,85.2,12,Low,Low
